name,latitude,longitude
ALZHEIMER EUROPE,49.6045545,6.1306232
AMNESTY INTERNATIONAL,51.52592079999999,-0.1111948
"ANDANTE, EUROPEAN ALLIANCE OF CATHOLIC WOMEN’S ORGANISATIONS",51.2277411,6.7734556
ANTI-SLAVERY INTERNATIONAL,51.4683271,-0.117882
ASSOCIATION EUROPA (REGULAR ACADEMIC CONFERENCES FOR ADMINISTRATION IN EUROPE),45.82434869999999,1.263357
ASSOCIATION FOR VOLUNTARY ACTION IN EUROPE,45.764043,4.835659
ASSOCIATION OF EUROPEAN ELECTORAL OFFICIALS,47.494504,19.0664699
ASSOCIATION OF EUROPEAN JOURNALISTS,51.4911378,-0.1834357
ASSOCIATION OF EUROPEAN BORDER REGIONS,"",""
ASSOCIATION OF LANGUAGE TESTERS IN EUROPE,52.1874008,0.1319956
ASSOCIATION OF THE EUROPEAN SELF-MEDICATION INDUSTRY,50.8389983,4.3980574
ASSOCIATION OF LOCAL DEMOCRACY AGENCIES,48.5734053,7.752111299999999
AUTISM-EUROPE AISBL,50.841012,4.3702714
CARITAS EUROPA,50.8475445,4.3704614
ASSOCIATION OF WORKING COMMUNITIES OF THE ALPINE REGIONS,47.2644271,11.3962245
CENTRE FOR STUDY AND STRATEGIC PROSPECTIVE,48.8586278,2.3248568
CHURCHES' COMMISSION FOR MIGRANTS IN EUROPE,50.8440689,4.3811002
CISV INTERNATIONAL,54.97612359999999,-1.6082558
"CITIZENS ASSOCIATION CIVIS, ASSOCIATION OF NON-GOVERNMENTAL ORGANISATIONS OF SOUTH-EAST EUROPE",44.81841499999999,20.4611951
CERES,"",""
CESVI,"",""
CHARITY: WATER,40.7127753,-74.0059728
CHERIE BLAIR FOUNDATION FOR WOMEN,51.5073509,-0.1277583
CHILD & YOUTH FINANCE INTERNATIONAL,52.3675734,4.9041389
CHILD FUND,37.5407246,-77.4360481
CHILD HELPLINE INTERNATIONAL,"",""
COMMUNITY MEDIA FORUM EUROPE,50.83223,4.3470591
CONFERENCE OF EUROPEAN CHURCHES,50.8440689,4.3811002
CONFERENCE OF EUROPEAN RABBIS,48.076168,11.5241507
CONFERENCE OF EUROPEAN JUSTICE AND PEACE COMMISSIONS,50.8390832,4.3698305
COUNCIL OF THE BARS AND LAW SOCIETIES OF EUROPE,50.84585389999999,4.3727393
COUNCIL OF EUROPEAN PROFESSIONAL INFORMATICS SOCIETIES,50.8343833,4.4143856
DYNAMO INTERNATIONAL - STREET WORKERS NETWORK,50.795407,4.3216041
EAQUALS (EVALUATION AND ACCREDITATION OF QUALITY IN LANGUAGE SERVICES),47.497912,19.040235
DISABLED PEOPLE’S INTERNATIONAL - RÉGION EUROPE,48.88926679999999,2.3698105
EDUCATION INTERNATIONAL,50.8637395,4.358998100000001
EQUAL RIGHTS TRUST,51.5285503,-0.1191068
ERASMUS STUDENT NETWORK AISBL,50.8450307,4.375816599999999
EUROGROUP FOR ANIMALS ASBL,50.8472076,4.3875009
EUROGEO - EUROPEAN ASSOCIATION OF GEOGRAPHERS,51.111642,3.2220571
EUROPA NOSTRA,52.0822681,4.3131618
EUROPARC - FEDERATION OF NATURE AND NATIONAL PARKS OF EUROPE,49.0154686,12.0911944
EUROPEAN ACTION OF THE DISABLED,47.37169129999999,9.675766699999999
EUROPEAN ANTI-POVERTY NETWORK,50.83899479999999,4.3697963
EUROPEAN FEDERATION OF PSYCHOANALYSIS AND PSYCHOANALYTICAL SCHOOLS OF STRASBOURG,48.58645449999999,7.766736099999999
EUROPEAN FORUM FOR URBAN SECURITY,48.8665951,2.4055089
FONKOZE,18.594395,-72.3074326
FOOD FOR THE WHOLE,19.4326077,-99.133208
EUROPEAN ASSOCIATION FOR PALLIATIVE CARE,45.4746589,9.232128099999999
EUROCHILD AISBL,50.8487239,4.3696589
EUROPEAN ASSOCIATION FOR PSYCHOTHERAPY,48.8602621,2.2848811
EUROPEAN ASSOCIATION FOR THE EDUCATION OF ADULTS,50.8397759,4.3721799
EUROPEAN ASSOCIATION OF ARCHAEOLOGISTS,50.090099,14.4092051
EUROPEAN ASSOCIATION OF ELECTED REPRESENTATIVES FROM MOUNTAIN REGIONS,50.8322482,4.4063173
EUROCLIO - EUROPEAN ASSOCIATION OF HISTORY EDUCATORS,52.09358719999999,4.3048769
EUROPEAN ASSOCIATION OF RAILWAYMEN,50.8673004,4.6966377
EUROPEAN ASSOCIATION OF RÉGIES AND NETWORKS DE QUARTIER,48.8529784,2.3935198
EUROPEAN ASSOCIATION OF SCHOOLS OF SOCIAL WORK,48.576731,7.7529576
EUROPEAN ASSOCIATION OF TEACHERS,50.8467323,4.372116999999999
EUROPEAN ASSOCIATION OF TRAINING CENTRES FOR SOCIO-EDUCATIONAL CARE WORK,48.5504754,7.73709
EUROPEAN BARS FEDERATION,48.587761,7.7511917
EUROPEAN BLIND UNION,48.8378554,2.3065675
EUROPEAN BUDDHIST UNION,48.5830464,7.776969100000001
EUROPEAN BUREAU FOR CONSCIENTIOUS OBJECTION,50.8281882,4.3691846
EUROPEAN ASSOCIATION FOR AUDIOVISUAL MEDIA EDUCATION,"",""
EUROPEAN CENTRE OF THE INTERNATIONAL COUNCIL OF WOMEN,48.876847,2.3000264
EUROPEAN CIVIC FORUM,48.87091,2.399684
COLLOQUE EUROPÉEN DES PAROISSES,35.8806753,14.5218338
EUROPEAN COMMITTEE FOR HOME-BASED PRIORITY ACTION FOR THE CHILD AND THE FAMILY,48.5789133,7.7540132
EUROPEAN COMMITTEE OF THE WORLD ASSOCIATION OF GIRL GUIDES AND GIRL SCOUTS,50.841755,4.369373
EUROPEAN GAY AND LESBIAN SPORT FEDERATION,52.3928595,4.9019067
EUROPEAN GROUP FOR RESEARCH AND TRAINING OF TEACHERS HOLDING CHRISTIAN AND OTHER BELIEFS AND OTHER CONVICTIONS,47.6741888,-0.7674236999999999
EUROPEAN CONFEDERATION OF INDEPENDENT TRADE UNIONS,50.8472553,4.3698432
EUROPEAN CONFEDERATION OF YOUTH CLUB ORGANISATIONS,50.8384219,4.3468878
EUROPEAN CONFEDERATION OF POLICE,49.6226525,6.1856294
EUROPEAN COUNCIL OF POLICE TRADE UNIONS,48.84900450000001,2.380267
EUROPEAN COUNCIL OF SPATIAL PLANNERS,50.8400909,4.3543479
EUROPEAN COUNCIL OF WIZO FEDERATIONS,47.369412,8.5621285
EUROPEAN COUNCIL ON REFUGEES AND EXILES,50.8482966,4.3697874
EUROPEAN DRAMA ENCOUNTERS,52.50437540000001,13.3534733
EUROPEAN ENVIRONMENTAL BUREAU,50.8373477,4.358304599999999
EUROPEAN FEDERATION FOR INTERCULTURAL LEARNING,50.8482966,4.3697874
EUROPEAN FEDERATION OF CENTERS OF RESEARCH AND INFORMATION ON SECTARIANISM,43.30397929999999,5.392859899999999
EUROPEAN FEDERATION OF CHRISTIAN STUDENT ASSOCIATIONS,48.2065537,16.3524978
EUROPEAN DISABILITY FORUM,50.8482966,4.3697874
EUROPEAN FEDERATION OF NATIONAL ORGANISATIONS WORKING WITH THE HOMELESS,50.84974889999999,4.3782277
EUROPEAN FEDERATION OF EMPLOYEES IN PUBLIC SERVICES,50.841012,4.3702714
"EUROPEAN DEMOCRAT STUDENTS FEDERATION OF CHRISTIAN-DEMOCRATIC, CONSERVATIVE AND LIBERAL STUDENTS",50.8398288,4.367092899999999
EUROPEAN LAW STUDENTS' ASSOCIATION,50.8214135,4.3878259
EUROPEAN LAWYERS UNION,49.6570978,5.9129869
EUROPEAN LOCAL INCLUSION AND SOCIAL ACTION NETWORK,48.8670797,2.399916300000001
EUROPEAN MOVEMENT INTERNATIONAL,50.8467323,4.372116999999999
CHILDREN OF PRISONERS EUROPE,48.8130268,2.3135275
EUROPEAN NETWORK CHURCH ON THE MOVE,40.4091106,-3.701631699999999
EUROPEAN NETWORK OF OMBUDSPERSONS FOR CHILDREN,48.5734053,7.752111299999999
EUROPEAN OMBUDSMAN INSTITUTE,47.2629362,11.3972425
EUROPEAN ORGANISATION OF MILITARY ASSOCIATIONS AND TRADE UNIONS,50.8418986,4.3838159
EUROPEAN PARALYMPIC COMMITTEE,48.20214989999999,16.3690162
EUROPEAN ORGANIZATION FOR PROBATION,52.0827138,5.0934115
EUROPEAN PARENTS' ASSOCIATION,48.2065996,16.349477
EUROPEAN PARLIAMENTARY FORUM ON POPULATION AND DEVELOPMENT,50.8411777,4.3694761
EUROPEAN PLATFORM FOR REHABILITATION,50.8463274,4.374770499999999
EUROPEAN PRISON EDUCATION ASSOCIATION,59.73728310000001,10.1982233
EUROPEAN PSYCHIATRIC ASSOCIATION,48.5863571,7.7579925
"EUROPEAN REGION OF THE INTERNATIONAL LESBIAN, GAY, BISEXUAL, TRANS AND INTERSEX ASSOCIATION",50.83814109999999,4.3689198
EUROPEAN NETWORK AGAINST RACISM,50.86630890000001,4.3682506
EUROPEAN ROMA AND TRAVELLERS FORUM,48.595562,7.7758102
EUROPEAN ROMA RIGHTS CENTRE,50.844451,4.3890736
EUROPEAN SOCIAL NETWORK,"",""
EUROPEAN STRING TEACHERS ASSOCIATION,48.69211809999999,9.0150633
INTERNATIONAL ASSOCIATION FOR RESEARCH IN HOSPITAL HYGIENE,43.7374769,7.417093399999999
FOOD TANK,29.95106579999999,-90.0715323
EUROPEAN STUDENTS' FORUM,50.8498263,4.388253499999999
EUROPEAN TRADE UNION CONFEDERATION,50.8637395,4.358998100000001
EUROPEAN UNION OF DEAF YOUTH,50.8456414,4.3693762
EUROPEAN UNION OF FORMER STUDENTS OF CATHOLIC EDUCATION,48.8661506,2.3372694
